Sime 	0	4	0	2
Crichton 	0	8	0	2
Vernon 	0	6	0	2
Belmont 	0	7	0	2
Beechwood 	0	9	1	2
Pelatina 	1	8	0	0
St. John's 	0	4.5	0	2
Moh Guan 	0	3.5	0	1
Crawford 	0	8	0	2
Biawak 	1	6	0	0
Mei Chin 	0	3.5	0	1
Chorak 	1	6	0	0
Ellington 	0	9	0	2
Warna 	1	5	0	0
Li Po 	0	2	1	1
Fulton 	0	6	0	2
Pasar Baru 	1	4.5	0	0
Worcester 	0	9	1	2
Cashin 	0	6	0	2
Hon Sui Sen 	0	3	0	1
Dalhousie 	0	9	0	2
Anderson 	0	8	0	2
Ayam Katek 	1	4.5	0	0
Orchard Spring 	0	6.5	1	4
Hu Ching 	0	3.5	0	1
Woolwich 	0	8	0	2
Lemon 	0	5	1	4
Selamat 	1	7	0	0
Ilmu 	1	4	0	0
Hongkong 	0	8	0	1
Swan Lake 	0	4	1	4
Sing 	0	4	1	4
Genting 	0	7	0	0
Simon 	0	5	0	2
Bukit Tinggi 	0	5.5	0	0
Pokok Serunai 	1	6	0	0
Tu Fu 	0	2	0	1
Mistri 	0	6	0	0
Bintang Tiga 	1	5.5	0	0
Kupang 	1	6	0	0
Orchard 	0	7	1	4
Dickson 	0	7	0	2
Isnin 	1	5	0	0
Harding 	0	7	0	2
Middle 	0	6	1	4
Venus 	0	5	1	5
Pelangi 	1	7	0	0
Cactus 	0	6	1	4
Lokam 	1	5	0	0
Greenridge 	0	10	0	2
Marsiling 	0	9	0	1
Kampong Ampat 	0	6	0	0
Sandilands 	0	10	0	2
River 	0	5	1	4
Ruby 	0	4	1	4
Mount Sophia 	0	5.5	1	2
New Market 	0	4.5	1	4
Gladiola 	0	8	1	4
Circus 	0	6	1	4
Parkstone 	0	9	0	2
Cross 	0	5	1	4
Brighton 	0	8	0	2
Playfair 	0	8	0	2
Belibas 	1	7	0	0
Galistan 	0	8	0	5
Tech 	0	4	0	4
Mangis 	0	6	0	0
Mar Thoma 	0	4	0	5
Libra 	0	5	1	4
International Business 	0	10.5	1	4
Elite 	0	5	1	4
